profile	date	url	caption
tedapter	2020-05-25 14:09:16	https://www.instagram.com/p/CAnRjouBj-y	Vegaaninen kaakao vegaanisella kermavaahdolla! Erittäin kova! Kiitos @caferegatta! #supportlocal #regatta #töölö
tedapter	2020-01-17 17:31:19	https://www.instagram.com/p/B7beIrKBupW	Friday! Round #3. #ölhuset #makingabetterworldtoday
tedapter	2020-01-17 16:11:47	https://www.instagram.com/p/B7bVCGQBE0D	Uusi tuttavuus. #therockyhorrorpictureshow Stout. Sisältää mm. vaahtokarkkeja ja kookosta. Kivaa viikonloppua!!!
tedapter	2019-10-11 13:55:26	https://www.instagram.com/p/B3evhvuBODL	Jes! Latauksen jälkeen #ouraring käyttöön. #uusiaika #oura
arjakarhuvaara	2018-09-28 17:48:01	https://www.instagram.com/p/BoR1qd6h_OT	Kanta-Helsingin yrittäjät ja syyskauden avajaiset teatteriravintola Nyyrikissä. Loistava suppilovahverokeitto, peurapaisti ja omena cremebrylee. Uusi ruokapaikka löytyi😀. Kunnanjohtaja Reima viimeisteli illan. Testatkaapa.
koulumies	2019-12-06 22:46:51	https://www.instagram.com/p/B5v429FhuLQ	Vau, pukuni on mainittu yhtenä kauneimmista muotiluomuksista! Paola Suhonen on kyllä aivan omaa luokkaansa suunnittelijana. "Suomalaisten suunnittelijoiden upeimmat luomukset – onko joku näistä Linnan kaunein? | Iltalehti" https://www.iltalehti.fi/muoti/a/92a2e894-2675-4dc5-851a-93110067f715 #linnanjuhlat2019  #linnanjuhlat  #itsenäisyyspäivä  #itsenäisyys  #muoti #ivanahelsinki
koulumies	2019-12-05 08:03:55	https://www.instagram.com/p/B5rvBTxlxtb	Huomenna on Suomen itsenäisyyspäivä ja myös elämäni ensimmäiset linnan juhlat, odotan niitä jännittyneenä. Ihailemani muotisuunnittelija Paola Suhonen on suunnitellut pukuni, nyt se on ripustettu esille odottamaan. Kassiin on kerätty mukaan tarvikkeita. Sinne pitää ottaa mm. kuvallinen henkilöllisyystodistus, jotta pääsee sisään ulko-ovesta. Myös Anssi on hankkinut juhlapuvun valmiiksi, se on vanhan ajan kaksirivinen tumma puku.  #suomi #itsenäisyys #linnanjuhlat2019  #ivanahelsinki #itsenäisyyspäivä #helsinginkokoomus
miangrd	2018-09-02 09:03:23	https://www.instagram.com/p/BnN89LZnK37	#HongKong #HongKongfood #socialplace #socialplacehk w/ #FoodfromFinland @foodfromfinland @laitilankanatarha @taigachocolate @df.kultamuna @ evira #PolarNutrition @polarnutrition
jeepajunen	2020-07-22 09:31:37	https://www.instagram.com/p/CC8H4zKhKr-	Toivoisin että Suomi saisi enemmän Hotelli Punkaharjuja. Sisukas yrittäjä @saimihoyer on laittanut likoon kokemuksensa ja persoonansa antaakseen ainutlaatuiselle kulttuuriperintökohteelle uuden elämän. Tie kohti kannattavuutta on kivinen, mutta hyvä maine ja pitkäjänteinen työ kantaa. Tätä elegantimpaa paikkaa saa hakea. Historia, luonto, hyvä ruoka ja kansainväliset tuulet kohtaavat. #respect #suominousuun #yrittäjyys #matkailu #hotellipunkaharju #visitfinland
jeepajunen	2020-07-21 11:57:30	https://www.instagram.com/p/CC5zyd9hVgS	Morning sauna 💯#sauna #hotellipunkaharju #visitfinland
jeepajunen	2020-07-01 10:53:57	https://www.instagram.com/p/CCGMnevDiPp	New home, new hoods, new kitchen floor ❤️ #kitchentiles #granadadeco  #uusikoti
jeepajunen	2020-03-21 12:27:55	https://www.instagram.com/p/B9_uShThX1D	Päiväkahvit turvavälillä #supportyourlocal #myhelsinki
mattiparpala	2019-06-25 18:37:45	https://www.instagram.com/p/BzJJ-9gh5KV	Parasta tänään: @heinontukku sekä lähestyvät pellegrino- ja g&t -kelit
jaanapelkonen	2020-08-08 16:19:56	https://www.instagram.com/p/CDooIXwjcJa	Maailmalle ei juuri nyt pääse, eikä kannata lähteä, mutta breikin arkeensa saa ja makumatkalle pääsee onneksi muillakin tavoin 🤗 Onnea uuden upean paikan johdosta @tomibjorck @minkabjorck @serkorantanen @romberg358 @mikaranin #lilyleerestaurant #lilyleehelsinki #lilylee #modernasianfood #helsinki #lilyleeravintola #makumatka #kylläkelpaa #erottaja4 #supportyourlocal @lilyleerestaurant
jaanapelkonen	2020-03-27 12:22:15	https://www.instagram.com/p/B-PKaMljp1o	Hei ihmiset! Tänään vietetään #kotonakotimaista päivää. Kotimaiset pienyrittäjät/yritykset tarvitsevat meitä kaikkia nyt enemmän kuin koskaan. Ostamalla, käyttämällä palveluja, syömällä ja juomalla kotimaista tuemme kullanarvoisia toimijoitamme. Samalla saamme nauttia puhtaista ja laadukkaista tuotteista nyt ja jatkossakin.  Minä aloitin jo herkuttelun @patisserieteemuaura porkkanakakulla. 🤗❤ @antonanton_ruokakauppa Yhdessä voimme vaikuttaa! Ei jätetä yrittäjiämme yksin. @kotona_kotimaista
jaanapelkonen	2019-12-11 15:01:45	https://www.instagram.com/p/B577mwUnxq5	19-vuotiaana käänsin elämässäni uuden sivun, kun muutin kotikaupungistani Lahdesta Helsinkiin opiskelemaan. Muutto oli ollut haaveeni, mutta olen vahvasti perhe- ja kotikeskeinen ja pelkäsin että menetän rakkaimpani, jos lähden. Sain kuitenkin kotoa todella paljon tukea ja kannustusta lähteä toteuttamaan itseäni ja unelmiani. Sain voimaa tiedosta, että kodin ovet ovat aina auki. Tuo turvallinen tieto kantoi uudessa kaupungissa. #uusisivu @kallio.la @anuekdesign #kalliola
jaanapelkonen	2019-09-23 18:19:29	https://www.instagram.com/p/B2w3b6tH3e-	Maamme ravintola- ja baarielämä on lahjakkaiden ahkerien yrittäjien ja ammattilaisten ansiosta kokenut viime vuosina kasvupyrähdyksen, josta ei voi olla muuta kuin erittäin ylpeä! Pääsin viime viikolla ensimmäistä kertaa elämässäni nauttimaan unohtumattomista herkuista yhteen Helsingin upeimmista paikoista @palacehelsinki hyvän ystäväni @laurajuslin mainiossa seurassa. Hyvä ruoka ja juoma = parempi mieli ❤️ #BollingerLaGrandeAnnée2008 @champagne_bollinger #champagnebollinger @eerovottonen Kuva: @photopasi
jaanapelkonen	2019-03-16 09:07:54	https://www.instagram.com/p/BvEEe7GnZmW	Terveisiä Lapista! Panimovierailulla. Aina oppii uutta. @lapinpanimo Matkailuala on globaali nopeasti kasvava tulevaisuudenala. Suomen matkailutulo on ollut jo useamman vuoden yli 13 miljardia euroa. Alalla arvioidaan olevan mahdollisuuksia kasvaa jopa 20 miljardiin euroon vuoteen 2025 mennessä. Matkailuklusterin toivotaan kasvavien verotulojen ohella työllistävän kymmenen vuoden kuluttua nykyisen 140 000 ihmisen sijaan noin 180 000 henkilöä. Kerrannaisvaikutukset kuljetus-, rakennus- ja kaupan alalle ovat merkittävät. Suomen uniikki luonto, puhtaus, turvallisuus ja nähtävyydet ovat asioita, jotka löytyvät vain Suomesta. Matkailussa on valtavasti potentiaalia, mikäli vain osaamme ja haluamme tämän hyödyntää @saratuisku @kansallinenkokoomus @helsinginkokoomus #eduskuntavaalit2019 #pienpanimo #hölmö #vaalit2019
jaanapelkonen	2019-02-24 09:04:28	https://www.instagram.com/p/BuQkMNuHCnC	Toukka lautailee. Tai yrittää.. Pienenä se näköjään nykyään aloitetaan. #lumilautailu #uusiharrastus #talvi #winterwonderland #Neitibellini @messilalumikeskus
miritasaxberg	2019-04-18 11:21:50	https://www.instagram.com/p/BwZSCrnBoyA	@Kamppi 5. krs. Yleensä suosikit Hoku ja Pobre, nyt testissä Beijing8 🍜  Agenda: Liike Nyt Helsinki -kaupunginvaltuustotyön kehittäminen #LiikeNyt #helvaltuusto
miritasaxberg	2017-11-08 15:16:24	https://www.instagram.com/p/BbPSwhclABM	Helöy! @herbalisti on mun #nuorennusleikkaus #bff #tubettaja #oldiesbutgoldies #juontaja #miritasaxberg #meidänstadi #helsinki
miritasaxberg	2017-11-08 11:12:56	https://www.instagram.com/p/BbO2oRiFJmQ	#pulledoats #onlyinfinland #soonabroad #tacobellsuomi #helsinki
miritasaxberg	2017-11-08 09:35:38	https://www.instagram.com/p/BbOrmBpF22i	Elä enemmän! Ensimmäisten kärjessä - ei Ruotsi, ei Norja, vaan #tacobellsuomi! Houstaan #tacobellpreparty tänään stadis. Makuja & live-musaa!
